im_fitness,im_f_measure,im_precision,im_tree_height,im_tree_silent_leaves,im_tree_leaves,im_tree_nodes,incremental_fitness,incremental_f_measure,incremental_precision,incremental_tree_height,incremental_tree_silent_leaves,incremental_tree_leaves,incremental_tree_nodes,incremental_freezing_baseline_fitness,incremental_freezing_baseline_f_measure,incremental_freezing_baseline_precision,incremental_freezing_baseline_tree_height,incremental_freezing_baseline_tree_silent_leaves,incremental_freezing_baseline_tree_leaves,incremental_freezing_baseline_tree_nodes,incremental_freezing_advanced_fitness,incremental_freezing_advanced_f_measure,incremental_freezing_advanced_precision,incremental_freezing_advanced_tree_height,incremental_freezing_advanced_tree_silent_leaves,incremental_freezing_advanced_tree_leaves,incremental_freezing_advanced_tree_nodes,variants_total,variants_processed_so_far,traces_processed_so_far
0.6730895408884454,0.8046067164235823,1.0,2,0,5,6,0.8576525673557717,0.7731079061349816,0.7037358638184879,6,3,10,16,0.8576525673557717,0.7731079061349816,0.7037358638184879,6,3,10,16,0.8576525673557717,0.7731079061349816,0.7037358638184879,6,3,10,16,231,1,56482
0.8768557459642501,0.9343880027537846,1.0,4,0,6,9,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,231,2,102853
0.9632521621116947,0.8346280294618051,0.7363080028343819,5,3,9,15,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,231,3,123238
0.9807716304216332,0.7203353329595209,0.5691910622594656,3,4,10,15,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,231,4,132758
0.9847309015026183,0.7235380499744869,0.5718570454168382,4,5,11,17,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,231,5,136494
0.9898888732646063,0.7270316562312121,0.5744823732343234,6,7,13,22,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,231,6,139795
0.9898888732646063,0.7270316562312121,0.5744823732343234,6,7,13,22,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,0.9907786309100359,0.8229454015830983,0.7037358638184879,6,4,11,18,231,7,142926
0.9961493227453846,0.7517393604338227,0.6036347184671842,6,8,16,26,0.9969572988545938,0.8645433478290012,0.7631793361888287,7,5,14,23,0.9969572988545938,0.7025141703769565,0.5423388554647772,8,9,23,39,0.9982272626465458,0.8226754879675702,0.6996351734747608,7,6,15,26,231,8,145423
0.9961493227453846,0.7517393604338227,0.6036347184671842,6,8,16,26,0.9969572988545938,0.8645433478290012,0.7631793361888287,7,5,14,23,0.9969572988545938,0.7025141703769565,0.5423388554647772,8,9,23,39,0.9982272626465458,0.8226754879675702,0.6996351734747608,7,6,15,26,231,9,146938
0.9961493227453846,0.7517393604338227,0.6036347184671842,6,8,16,26,0.9969572988545938,0.8645433478290012,0.7631793361888287,7,5,14,23,0.9969572988545938,0.7025141703769565,0.5423388554647772,8,9,23,39,0.9982272626465458,0.8226754879675702,0.6996351734747608,7,6,15,26,231,10,147460
0.9965162002207323,0.7599977939803327,0.614216429826776,6,7,15,24,0.9975274309098675,0.8719943615911455,0.7745248765394716,8,6,16,27,0.9975274309098675,0.7172113182273585,0.559879155220771,9,10,25,43,0.9982272626465458,0.8226754879675702,0.6996351734747608,7,6,15,26,231,11,147903
0.9974143228035018,0.6746301710689421,0.5096853300447743,7,7,15,25,0.9975274309098675,0.8719943615911455,0.7745248765394716,8,6,16,27,0.9975274309098675,0.7172113182273585,0.559879155220771,9,10,25,43,0.9982272626465458,0.8226754879675702,0.6996351734747608,7,6,15,26,231,12,148265
0.9995106824033986,0.6289073532933577,0.4587936570069835,8,12,22,37,0.9995106824033986,0.6289073532933577,0.4587936570069835,8,12,22,37,0.9990361681399709,0.5978884972415259,0.426595577384572,8,14,29,49,0.9994088157092098,0.868252313971681,0.7675266554283788,7,7,18,30,231,13,148404
